# Fri May 14 11:39:04 2021
test,WR,rWR,rWM,rMM
2+2W+fence.rw.rw+po,2,2,2,2
2+2W+fence.rw.rws,1,1,1,1
2+2W,1,1,3,4
LB+ctrl+po,6,14,9,7
LB+ctrls,9,7,8,5
LB+data+ctrl,4,12,8,6
LB+data+po,6,7,11,5
LB+datas,6,7,7,6
LB+fence.rw.rw+ctrl,5,7,13,7
LB+fence.rw.rw+data,4,8,7,5
LB+fence.rw.rw+po,5,7,8,6
LB+fence.rw.rws,6,8,12,6
LB,4,10,6,5
MP+fence.rw.rw+addr,4,8,8,5
MP+fence.rw.rw+ctrl,3,10,14,5
MP+fence.rw.rw+po,4,14,13,5
MP+fence.rw.rws,5,14,11,6
MP+po+addr,3,12,6,6
MP+po+ctrl,3,7,12,6
MP+po+fence.rw.rw,5,7,12,4
MP,3,5,6,5
R+fence.rw.rw+po,3,4,3,9
R+fence.rw.rws,4,9,4,5
R+po+fence.rw.rw,6,3,2,6
R,5,3,3,3
S+fence.rw.rw+ctrl,4,7,3,8
S+fence.rw.rw+data,3,3,6,5
S+fence.rw.rw+po,3,8,3,4
S+fence.rw.rws,4,3,3,6
S+po+ctrl,3,4,4,5
S+po+data,3,2,2,3
S+po+fence.rw.rw,2,3,3,7
S,2,3,2,9
SB+fence.rw.rw+po,3,2,3,6
SB+fence.rw.rws,5,5,4,5
SB,8,3,4,4
