# Sat May 22 11:35:09 2021
test,WR,rWR,rWM,rMM,Ref
2+2W+fence.rw.rw+po,st,st,st,st,eq
2+2W+fence.rw.rws,st,st,st,st,st
2+2W,st,st,st,st,eq
LB+ctrl+po,st,st,st,eq,eq
LB+ctrls,st,st,st,st,st
LB+data+ctrl,st,st,st,st,st
LB+data+po,st,st,st,eq,eq
LB+datas,st,st,st,st,st
LB+fence.rw.rw+ctrl,st,st,st,st,st
LB+fence.rw.rw+data,st,st,st,st,st
LB+fence.rw.rw+po,st,st,st,eq,eq
LB+fence.rw.rws,st,st,st,st,st
LB,st,st,st,eq,eq
MP+fence.rw.rw+addr,st,st,st,st,st
MP+fence.rw.rw+ctrl,st,st,st,st,eq
MP+fence.rw.rw+po,st,st,st,eq,eq
MP+fence.rw.rws,st,st,st,st,st
MP+po+addr,st,st,eq,eq,eq
MP+po+ctrl,st,st,eq,eq,eq
MP+po+fence.rw.rw,st,st,eq,eq,eq
MP,st,st,eq,eq,eq
R+fence.rw.rw+po,eq,eq,eq,eq,eq
R+fence.rw.rws,st,st,st,st,st
R+po+fence.rw.rw,st,st,eq,eq,eq
R,eq,eq,eq,eq,eq
S+fence.rw.rw+ctrl,st,st,st,st,st
S+fence.rw.rw+data,st,st,st,st,st
S+fence.rw.rw+po,st,st,st,eq,eq
S+fence.rw.rws,st,st,st,st,st
S+po+ctrl,st,st,eq,eq,eq
S+po+data,st,st,eq,eq,eq
S+po+fence.rw.rw,st,st,eq,eq,eq
S,st,st,eq,eq,eq
SB+fence.rw.rw+po,eq,eq,eq,eq,eq
SB+fence.rw.rws,st,st,st,st,st
SB,eq,eq,eq,eq,eq
