# Sat May 22 00:27:11 2021
test,WR,rWR,rWM,rMM
2+2W+fence.rw.rw+po,st,st,st,st
2+2W+fence.rw.rws,st,st,st,st
2+2W,st,st,st,st
LB+ctrl+po,st,st,st,eq
LB+ctrls,st,st,st,st
LB+data+ctrl,st,st,st,st
LB+data+po,st,st,st,eq
LB+datas,st,st,st,st
LB+fence.rw.rw+ctrl,st,st,st,st
LB+fence.rw.rw+data,st,st,st,st
LB+fence.rw.rw+po,st,st,st,eq
LB+fence.rw.rws,st,st,st,st
LB,st,st,st,eq
MP+fence.rw.rw+addr,st,st,st,st
MP+fence.rw.rw+ctrl,st,st,st,st
MP+fence.rw.rw+po,st,st,st,eq
MP+fence.rw.rws,st,st,st,st
MP+po+addr,st,st,eq,eq
MP+po+ctrl,st,st,eq,eq
MP+po+fence.rw.rw,st,st,eq,eq
MP,st,st,eq,eq
R+fence.rw.rw+po,eq,eq,eq,eq
R+fence.rw.rws,eq,eq,eq,eq
R+po+fence.rw.rw,eq,eq,eq,eq
R,eq,eq,eq,eq
S+fence.rw.rw+ctrl,eq,eq,eq,eq
S+fence.rw.rw+data,eq,eq,eq,eq
S+fence.rw.rw+po,eq,eq,eq,eq
S+fence.rw.rws,eq,eq,eq,eq
S+po+ctrl,eq,eq,eq,eq
S+po+data,eq,eq,eq,eq
S+po+fence.rw.rw,eq,eq,eq,eq
S,eq,eq,eq,eq
SB+fence.rw.rw+po,eq,eq,eq,eq
SB+fence.rw.rws,st,st,st,st
SB,eq,eq,eq,eq
